"time_indes","date","year","month","day","ATC","relative_humidity","Act_VP_kPa","SD_kPa","Corrected_SD_kPa","PAR","wind","rain","Dr..Inv.rel.dist.Earth.Sun.","Delta.Solar.decli.","WS.Sunset.hour.angle.","Ra.Extraterrst.radi.","Rso.Clear.sky.sol.rad.","Rns.sol.radi..MJ.m2.d","Rnl.Net.outgo.longwav.rad.","Delta.Slope.of.the.sat.vp.","ETwind..mm.day.","Etrad.mm.day.","ET0_potential_evp","X30day_run_total_rain","X30day_run_total_ET0","X30day_run_toal_ET0_rain"
4417,"2008/2/3",2008,2,3,-1.21566086342849,-0.83310894509283,-1.75212145719332,0.634568570103818,0.631525387945895,1.12686961020834,-0.503270291130404,-0.581225476243637,1.16996379652258,-1.02173347050529,-1.00775356820344,-0.601705599700777,-0.601705606537245,1.13664412002274,1.32786330469967,-1.16696571262566,-0.015441504392533,0.963730542953088,0.708938794371631,0.29932141625558,-0.0743832842568368,-0.159501698665915
4418,"2008/2/4",2008,2,4,-1.50057068170246,-0.271869193674909,-1.34264925008092,0.0572388901013798,0.0347083148862325,0.546668846130979,-0.166668331250683,-0.581225476243637,1.15651823949036,-1.00493655844981,-0.990212443320359,-0.551694783277654,-0.551694788202494,0.554891395808143,0.652322038865049,-1.42494100427373,-0.0983879508827293,0.354057371117597,0.219005031768331,0.274125001248072,0.0146269406731057,-0.157923789173984
4419,"2008/2/5",2008,2,5,-0.986276600792581,-0.951342144473703,-1.70117330239132,0.80935884827898,0.812215599852797,1.64498645963292,-0.646128040378311,-0.581225476243637,1.14273182868213,-0.987846712978317,-0.97241849873193,-0.50149299238703,-0.501492993830371,1.65614686324199,1.89515251293678,-0.956417825945675,-0.0641605527120171,1.50289158878559,1.08763898766041,0.26852579791307,0.066861497660469,-0.157222469506391
4420,"2008/2/6",2008,2,6,-0.4173672192551,-0.223545666127124,-0.620569228936483,0.235107564220522,0.218580832017764,0.479268602066704,-0.57902786134514,-0.581225476243637,1.12860863386848,-0.970468989434044,-0.954378550806216,-0.451148443523888,-0.451148439450814,0.487310865187652,0.554827324461839,-0.423087300100379,-0.260893485288003,0.500072087647666,0.254817248998297,0.261993394022235,0.0858538326619496,-0.156847778676075
4421,"2008/2/7",2008,2,7,-1.17287887793687,-0.0671687686057398,-0.931290074272157,-0.0438264140255721,-0.0697683837596389,0.355190880039288,-0.54847871291144,-0.564161314810478,1.114152934602,-0.952808535323791,-0.936099415911265,-0.400709448783102,-0.400709454728358,0.362901251574941,0.418458715448047,-1.12789061265482,-0.346019807559958,0.306417013700119,0.0729197339215854,0.213466965118886,0.13544160386831,-0.154991471091904
4422,"2008/2/8",2008,2,8,-1.55518598233006,0.207073382655289,-0.938208959492182,-0.347022326406428,-0.383198479697253,-0.744928879025864,-0.901747770028487,0.331707160430336,1.09936888456605,-0.93487057666408,-0.917587879710783,-0.350224374888075,-0.350224369327523,-0.74016118154829,-0.774710639228176,-1.47394899503771,-0.59890874927258,-0.673906419455194,-0.768295758616091,0.175205742329707,0.148976961479709,-0.153750833083127
4423,"2008/2/9",2008,2,9,-1.53789113713132,0.59488808850832,-0.598554594145493,-0.688306866568737,-0.736002860617565,-0.344221813044806,-0.566462769904565,1.66271175221669,1.08426093113881,-0.916660424808086,-0.89885063575538,-0.299741533933694,-0.299741530395092,-0.33838227758207,-0.334597451301037,-1.45844520529121,-0.626494206938427,-0.363862861555406,-0.550332541016835,0.37117785905477,0.178715630009648,-0.158654391317281
4424,"2008/2/10",2008,2,10,-2.42356926230887,0.954125682892737,-0.936321990795812,-1.02312155762844,-1.08211900682849,-1.0073212730301,-0.596429001725042,-0.274070570446786,1.06883352169845,-0.898183466205235,-0.879894346891311,-0.249309183386311,-0.249309188925492,-1.00325544033776,-1.06355077439063,-2.23430526819071,-0.77113053765018,-1.01591962041548,-1.09932530466732,0.3609126529406,0.175994874814833,-0.158430633876871
4425,"2008/2/11",2008,2,11,-2.47272303287371,0.989203167356358,-0.946385823843121,-1.0498357732779,-1.10973494369306,-1.80586098281889,-0.44232312079236,3.12169755475173,1.05309127144875,-0.879445179468536,-0.860725614556116,-0.198975450969568,-0.198975447314071,-1.80393113809848,-1.92393773916406,-2.27629734812755,-0.775473062287989,-1.74734528717925,-1.64455630049409,0.734192875274052,0.142190073987845,-0.166603115862131
4426,"2008/2/12",2008,2,12,-2.68754321534227,0.990674949921265,-1.09985927781459,-1.05234023099504,-1.11232393777412,-1.36648888377903,-0.160623270076524,1.80775712439853,1.03703879559344,-0.860451104653389,-0.841351070891679,-0.14878825955016,-0.148788259357107,-1.36338377712295,-1.46939845121521,-2.45852297036806,-0.763706383874581,-1.39665284804975,-1.37880823648327,0.979624621458298,0.140772412676899,-0.170650176436645
